Age,Height,Weight,Bmi,BmiClass,EncodedBmiClass
18.0,,65.0,,Normal Weight,
18.0,1.69,63.0,22.058051188683876,Normal Weight,0.0
18.0,1.68,,21.9671201814059,Normal Weight,
18.0,1.67,61.0,21.872422819032597,Normal Weight,0.0
,1.69,,22.33815342600049,Normal Weight,0.0
18.0,1.6840000000000002,,21.75709909106809,Normal Weight,0.0
18.0,1.62,43.9,16.727632982777013,Underweight,5.0
18.0,1.55,,16.649323621227886,Underweight,5.0
18.0,,41.7,16.087342309324484,Underweight,5.0
18.0,1.57,36.3,14.72676376323583,Underweight,5.0
18.0,,32.9,14.239958448753464,Underweight,
18.0,1.5,30.3,13.466666666666669,Underweight,5.0
18.0,1.48,,,Underweight,5.0
18.0,,26.6,,Underweight,5.0
18.0,1.7,72.9,,Overweight,4.0
,1.65,95.0,34.894398530762174,Obese Class 1,
17.0,1.63,95.0,35.75595618954421,Obese Class 2,2.0
17.0,1.68,,,Obese Class 2,2.0
17.0,,140.0,45.71428571428572,Obese Class 3,3.0
17.0,1.6,44.0,17.187499999999996,Underweight,5.0
17.0,1.69,61.0,21.35779559539232,Normal Weight,0.0
17.0,,62.0,21.45328719723184,Normal Weight,
,1.68,60.0,21.258503401360542,Normal Weight,0.0
17.0,,59.0,,Normal Weight,
17.0,,,21.30394857667585,Normal Weight,0.0
17.0,1.638,60.3,22.47447302392357,Normal Weight,0.0
17.0,,59.1,22.29865559103888,Normal Weight,0.0
17.0,1.63,45.2,17.01230757649893,Underweight,5.0
17.0,1.62,44.0,16.76573693034598,Underweight,
17.0,1.6,38.9,,Underweight,5.0
17.0,1.54,,,Underweight,
17.0,,,13.683610367966317,Underweight,5.0
,,29.0,13.062474663303457,Underweight,5.0
,1.47,27.3,,Underweight,5.0
16.0,1.6,90.0,35.15624999999999,Obese Class 2,2.0
16.0,,90.0,36.05191475725044,Obese Class 2,
16.0,1.7,105.0,36.33217993079585,Obese Class 2,
16.0,,,43.942671714440245,Obese Class 3,
,1.58,42.0,16.82422688671687,Underweight,5.0
,1.67,58.0,20.7967298935064,Normal Weight,0.0
16.0,1.68,,,Normal Weight,0.0
16.0,1.66,57.0,20.685150239512268,Normal Weight,0.0
16.0,1.65,56.0,20.569329660238758,Normal Weight,0.0
16.0,1.64,,20.449137418203453,Normal Weight,0.0
16.0,1.652,58.7,21.50889083010395,Normal Weight,0.0
16.0,,56.6,20.992788272523484,Normal Weight,0.0
16.0,1.59,,16.929710058937538,Underweight,5.0
16.0,1.58,40.1,16.06313090850825,Underweight,
16.0,1.55,35.7,14.859521331945889,Underweight,5.0
16.0,1.52,32.2,,Underweight,5.0
16.0,1.49,29.9,13.467861808026663,Underweight,5.0
16.0,1.47,28.0,12.957563977972145,Underweight,
,1.46,26.3,,Underweight,5.0
15.0,,85.0,35.37981269510926,Obese Class 2,2.0
15.0,,,32.38835543362292,Obese Class 1,
15.0,1.65,100.0,36.73094582185492,Obese Class 2,2.0
15.0,,120.0,41.52249134948097,Obese Class 3,3.0
15.0,1.55,40.0,16.649323621227886,Underweight,
15.0,1.65,,20.202020202020204,Normal Weight,
15.0,1.66,56.0,20.322252866889244,Normal Weight,0.0
15.0,1.64,54.0,,Normal Weight,0.0
15.0,,53.0,19.94805976890361,Normal Weight,0.0
,1.62,,19.81405273586343,Normal Weight,0.0
,1.605,55.2,21.42836346696946,Normal Weight,
,1.597,54.0,21.173074593133887,Normal Weight,0.0
,1.78,115.0,36.295922232041406,Obese Class 2,2.0
,1.76,130.5,,Obese Class 3,
42.0,1.73,146.2,48.84894249724347,Obese Class 3,3.0
,1.81,128.7,39.28451512469094,Obese Class 2,2.0
35.0,1.75,141.5,46.204081632653065,Obese Class 3,3.0
45.0,1.7,155.8,,Obese Class 3,
28.0,,142.0,,Obese Class 3,3.0
38.0,1.8,159.6,49.25925925925925,Obese Class 3,3.0
,,175.0,62.00396825396826,Obese Class 3,3.0
,,,46.29629629629629,Obese Class 3,
,1.74,,54.59770114942529,Obese Class 3,3.0
,1.66,182.7,66.30134997822616,Obese Class 3,3.0
24.0,1.77,124.5,39.73953844680647,Obese Class 2,2.0
,1.76,138.9,44.8411673553719,Obese Class 3,3.0
,1.72,154.0,52.05516495402921,Obese Class 3,3.0
,1.83,,,Obese Class 3,3.0
37.0,1.78,152.3,48.06842570382528,Obese Class 3,3.0
47.0,1.67,168.9,,Obese Class 3,3.0
29.0,1.79,132.1,41.22842607908617,Obese Class 3,3.0
39.0,,146.3,46.69794758849629,Obese Class 3,3.0
49.0,1.65,162.5,,Obese Class 3,3.0
,1.82,132.0,39.85025963047941,Obese Class 2,2.0
36.0,1.76,144.0,46.48760330578513,Obese Class 3,3.0
46.0,1.71,158.7,54.273109674771725,Obese Class 3,
,1.78,127.8,40.33581618482515,Obese Class 3,3.0
41.0,1.75,151.0,,Obese Class 3,3.0
17.0,1.65,60.5,22.222222222222225,Normal Weight,0.0
,1.75,70.2,22.92244897959184,Normal Weight,0.0
32.0,1.8,76.8,23.703703703703702,Normal Weight,0.0
22.0,1.68,63.5,22.498582766439917,Normal Weight,0.0
39.0,1.7,72.9,25.22491349480969,Overweight,4.0
,1.62,,26.17741197988111,Overweight,4.0
19.0,1.7,67.3,23.28719723183391,Normal Weight,0.0
28.0,1.78,74.6,23.545006943567728,Normal Weight,0.0
35.0,1.75,71.8,23.444897959183677,Normal Weight,0.0
44.0,,70.3,24.613984104198035,Normal Weight,
20.0,1.72,66.0,22.30935640886966,Normal Weight,
29.0,1.79,75.3,23.501139165444275,Normal Weight,0.0
37.0,,69.5,23.49242833964305,Normal Weight,
,1.66,,24.677021338365517,Normal Weight,0.0
21.0,1.69,65.7,,Normal Weight,0.0
31.0,,,23.243801652892564,Normal Weight,0.0
38.0,1.71,70.2,,Normal Weight,0.0
49.0,1.64,67.3,25.02230814991077,Overweight,4.0
24.0,1.73,,22.887500417655115,Normal Weight,0.0
,1.81,78.4,,Normal Weight,0.0
41.0,1.67,68.9,,Normal Weight,0.0
50.0,1.63,,,Overweight,
23.0,1.71,67.0,22.91303307000445,Normal Weight,0.0
30.0,1.77,73.5,23.46069137221105,Normal Weight,
36.0,,70.8,23.384859294490685,Normal Weight,0.0
,1.68,69.2,24.518140589569164,Normal Weight,0.0
18.0,1.66,62.3,22.608506314414285,Normal Weight,
27.0,1.74,71.5,23.616065530453163,Normal Weight,0.0
34.0,1.78,73.2,23.10314354248201,Normal Weight,0.0
,1.65,66.2,24.31588613406796,Normal Weight,0.0
16.0,1.6,,21.484375,Normal Weight,0.0
26.0,,68.5,23.154407787993517,Normal Weight,0.0
37.0,1.76,73.2,23.63119834710744,Normal Weight,
47.0,1.66,,23.11656263608652,Normal Weight,0.0
18.0,1.68,,22.25056689342404,Normal Weight,0.0
,,71.4,22.28394869073999,Normal Weight,0.0
40.0,,70.0,23.38868655818771,Normal Weight,
49.0,1.65,63.3,23.25068870523416,Normal Weight,0.0
19.0,1.66,59.5,21.59239367106982,Normal Weight,0.0
30.0,1.76,,21.952479338842977,Normal Weight,0.0
,1.69,67.2,23.52858793459613,Normal Weight,
50.0,1.64,,,Normal Weight,0.0
21.0,1.72,65.7,22.2079502433748,Normal Weight,0.0
32.0,1.78,70.5,22.25097841181669,Normal Weight,0.0
44.0,,66.9,23.148788927335644,Normal Weight,0.0
22.0,,64.3,,Normal Weight,0.0
34.0,,69.8,,Normal Weight,0.0
46.0,1.68,63.8,22.604875283446717,Normal Weight,
23.0,1.7,63.5,21.972318339100347,Normal Weight,0.0
,1.77,70.3,22.43927351655016,Normal Weight,0.0
,1.65,63.1,23.17722681359045,Normal Weight,0.0
25.0,1.71,66.7,22.810437399541744,Normal Weight,0.0
,1.75,70.1,22.889795918367344,Normal Weight,
,1.67,63.5,22.76883359030442,Normal Weight,0.0
27.0,1.74,,22.52609327520148,Normal Weight,0.0
,,71.0,22.408786769347305,Normal Weight,
16.0,1.62,50.0,,Normal Weight,0.0
,,,19.90031912223457,Normal Weight,0.0
36.0,1.7,57.8,20.0,Normal Weight,
46.0,1.73,,20.11427044004143,Normal Weight,0.0
17.0,,51.2,19.2705784937333,Normal Weight,0.0
,,56.0,,Normal Weight,0.0
37.0,1.71,58.1,,Normal Weight,0.0
47.0,1.74,61.0,20.147971991015982,Normal Weight,0.0
18.0,1.64,52.5,,Normal Weight,0.0
28.0,1.69,56.7,19.85224606981549,Normal Weight,0.0
38.0,,59.0,19.94321254732288,Normal Weight,
,,62.3,,Normal Weight,0.0
19.0,1.65,53.8,19.761248852157944,Normal Weight,0.0
29.0,1.7,57.3,19.82698961937716,Normal Weight,0.0
39.0,,,20.014033211934912,Normal Weight,0.0
49.0,1.76,63.6,20.53202479338843,Normal Weight,0.0
20.0,1.66,55.0,19.959355494266223,Normal Weight,0.0
30.0,1.71,58.5,,Normal Weight,0.0
,1.74,,20.048883604174925,Normal Weight,
50.0,1.77,,20.71563088512241,Normal Weight,
21.0,1.67,56.2,20.151314138190685,Normal Weight,0.0
31.0,1.72,59.0,19.94321254732288,Normal Weight,0.0
41.0,,61.5,20.081632653061224,Normal Weight,0.0
,,57.5,20.37273242630386,Normal Weight,0.0
32.0,1.73,60.8,20.314744896254467,Normal Weight,0.0
42.0,1.76,62.2,20.08006198347108,Normal Weight,0.0
23.0,1.69,58.7,20.55250166310704,Normal Weight,0.0
,1.74,61.2,20.214030915576696,Normal Weight,
43.0,1.77,63.4,20.236841265281367,Normal Weight,
24.0,,,,Normal Weight,0.0
,1.75,61.8,20.17959183673469,Normal Weight,0.0
44.0,1.78,64.8,20.45196313596768,Normal Weight,0.0
,1.71,61.2,20.929516774392123,Normal Weight,
,,62.4,20.14462809917356,Normal Weight,
45.0,1.79,65.7,20.50497799694142,Normal Weight,0.0
16.0,1.65,65.5,24.05876951331497,Normal Weight,0.0
26.0,1.7,75.6,26.15916955017301,Overweight,
36.0,1.75,85.8,28.016326530612243,Overweight,4.0
46.0,1.8,95.9,,Overweight,
17.0,1.67,68.0,24.38237297859371,Normal Weight,0.0
27.0,1.72,78.2,26.433207138994053,Overweight,4.0
37.0,1.77,,,Overweight,
47.0,,98.4,29.70655717908465,Overweight,4.0
18.0,1.69,70.5,24.684009663527192,Normal Weight,0.0
28.0,1.74,80.8,26.68780552252609,Overweight,4.0
38.0,1.79,90.9,,Overweight,4.0
48.0,1.84,101.0,29.832230623818525,Overweight,
,1.7,73.0,25.25951557093426,Overweight,4.0
29.0,1.76,,26.89178719008265,Overweight,4.0
39.0,1.81,93.5,28.540032355544703,Overweight,4.0
,,,30.23470921493814,Obese Class 1,1.0
,1.72,75.6,,Overweight,4.0
30.0,1.78,85.7,27.04835248074738,Overweight,4.0
40.0,,96.1,28.69598972797037,Overweight,
50.0,1.88,107.2,30.33046627433228,Obese Class 1,
,1.74,78.1,25.79601004095653,Overweight,4.0
31.0,1.8,88.2,27.22222222222222,Overweight,4.0
41.0,1.85,98.7,28.83856829802776,Overweight,4.0
,1.76,80.7,26.052427685950416,Overweight,4.0
,1.82,,27.351769110010864,Overweight,4.0
42.0,1.87,101.3,28.96851497040235,Overweight,
23.0,1.78,83.3,26.29087236460043,Overweight,4.0
33.0,1.84,93.1,27.498818525519845,Overweight,4.0
43.0,1.89,104.0,29.114526469023826,Overweight,4.0
24.0,1.8,85.8,26.48148148148148,Overweight,4.0
34.0,1.86,95.7,27.66215747485258,Overweight,4.0
44.0,1.91,,,Overweight,4.0
25.0,1.82,88.4,26.687598116169543,Overweight,4.0
35.0,1.88,98.5,27.868945224083298,Overweight,4.0
45.0,,,29.50414776235604,Overweight,4.0
